timestamp_utc,municipio,municipio_api,departamento,pais,lat,lon,temp,sensacion,temp_min,temp_max,humedad,presion,presion_nivel_mar,presion_suelo,viento,viento_direccion,viento_racha,nubosidad,visibilidad,lluvia_1h,lluvia_3h,nieve_1h,nieve_3h,amanecer_utc,atardecer_utc,timezone_seg,clima_id,clima_principal,descripcion,icono,dt_utc,base,cod
2026-06-27T15:43:56+00:00,Soata,Soatá,Boyacá,CO,6.3352,-72.6804,20.24,19.39,20.24,20.24,41,1013,1013,763,2.87,145,3.96,15,10000,,,,,2026-06-27T10:39:04+00:00,2026-06-27T23:08:18+00:00,-18000,801,Clouds,algo de nubes,02d,2026-06-27T15:43:56+00:00,stations,200
2026-06-27T15:43:57+00:00,Susacon,Susacón,Boyacá,CO,6.2311,-72.6904,21.55,20.96,21.55,21.55,46,1015,1015,718,4.56,135,5.15,37,10000,,,,,2026-06-27T10:39:17+00:00,2026-06-27T23:08:09+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:43:57+00:00,stations,200
2026-06-27T15:43:57+00:00,Tipacoque,Tipacoque,Boyacá,CO,6.4212,-72.6914,24.28,23.76,24.28,24.28,38,1012,1012,787,1.62,161,3.16,9,10000,,,,,2026-06-27T10:38:57+00:00,2026-06-27T23:08:29+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:57+00:00,stations,200
2026-06-27T15:43:57+00:00,Briceno,Pauna,Boyacá,CO,5.6909,-73.9235,28.88,29.62,28.88,28.88,51,1012,1012,832,1.42,230,4.88,7,10000,,,,,2026-06-27T10:45:10+00:00,2026-06-27T23:12:08+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:57+00:00,stations,200
2026-06-27T15:43:57+00:00,Buenavista,Maripí,Boyacá,CO,5.5117,-73.9431,20.45,20.01,20.45,20.45,56,1014,1014,797,1.56,152,6.36,13,10000,,,,,2026-06-27T10:45:33+00:00,2026-06-27T23:11:54+00:00,-18000,801,Clouds,algo de nubes,02d,2026-06-27T15:43:57+00:00,stations,200
2026-06-27T15:43:58+00:00,Caldas,Simijaca,Boyacá,CO,5.5546,-73.8655,17.57,16.84,17.57,17.57,56,1014,1014,784,2.14,149,7.14,15,10000,,,,,2026-06-27T10:45:10+00:00,2026-06-27T23:11:40+00:00,-18000,801,Clouds,algo de nubes,02d,2026-06-27T15:43:58+00:00,stations,200
2026-06-27T15:43:58+00:00,Chiquinquira,Chiquinquirá,Boyacá,CO,5.6183,-73.8167,18.02,17.31,18.02,18.02,55,1014,1014,767,2.69,147,7.47,18,10000,,,,,2026-06-27T10:44:52+00:00,2026-06-27T23:11:35+00:00,-18000,801,Clouds,algo de nubes,02d,2026-06-27T15:43:58+00:00,stations,200
2026-06-27T15:43:58+00:00,Coper,Coper,Boyacá,CO,5.4758,-74.0452,28.21,29.2,28.21,28.21,55,1013,1013,820,0.67,199,4.53,10,10000,,,,,2026-06-27T10:46:02+00:00,2026-06-27T23:12:15+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:58+00:00,stations,200
2026-06-27T15:43:59+00:00,La Victoria,Quípama,Boyacá,CO,5.5235,-74.2346,24.62,24.52,24.62,24.62,53,1011,1011,884,1.32,270,2.18,7,10000,,,,,2026-06-27T10:46:42+00:00,2026-06-27T23:13:05+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:58+00:00,stations,200
2026-06-27T15:43:59+00:00,Maripi,Maripí,Boyacá,CO,5.5495,-74.0047,27.67,28.34,27.67,27.67,53,1012,1012,828,0.78,213,4.71,7,10000,,,,,2026-06-27T10:45:44+00:00,2026-06-27T23:12:13+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:59+00:00,stations,200
2026-06-27T15:43:59+00:00,Muzo,Muzo,Boyacá,CO,5.5321,-74.1028,28.74,29.56,28.74,28.74,52,1012,1012,857,1.1,263,3.11,5,10000,,,,,2026-06-27T10:46:10+00:00,2026-06-27T23:12:35+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:59+00:00,stations,200
2026-06-27T15:43:59+00:00,Otanche,Otanche,Boyacá,CO,5.66,-74.1817,29.58,30.59,29.58,29.58,51,1010,1010,895,1.62,287,2.5,4,10000,,,,,2026-06-27T10:46:15+00:00,2026-06-27T23:13:07+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:43:59+00:00,stations,200
2026-06-27T15:44:00+00:00,Pauna,Pauna,Boyacá,CO,5.6574,-73.9789,28.12,28.68,28.12,28.12,51,1012,1012,842,1.44,241,4.56,6,10000,,,,,2026-06-27T10:45:27+00:00,2026-06-27T23:12:18+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:44:00+00:00,stations,200
2026-06-27T15:44:00+00:00,Quipama,Quípama,Boyacá,CO,5.523,-74.1812,28.07,28.72,28.07,28.07,52,1011,1011,872,1.23,268,2.49,6,10000,,,,,2026-06-27T10:46:29+00:00,2026-06-27T23:12:53+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:44:00+00:00,stations,200
2026-06-27T15:44:00+00:00,Saboya,Saboyá,Boyacá,CO,5.6975,-73.7657,16.53,15.62,16.53,16.53,53,1014,1014,764,2.65,150,7.06,17,10000,,,,,2026-06-27T10:44:31+00:00,2026-06-27T23:11:31+00:00,-18000,801,Clouds,algo de nubes,02d,2026-06-27T15:44:00+00:00,stations,200
2026-06-27T15:44:00+00:00,San Miguel de Sema,El Mirador,Boyacá,CO,5.519,-73.723,16.93,16.32,16.93,16.93,63,1016,1016,736,4.39,135,9.23,37,10000,,,,,2026-06-27T10:44:40+00:00,2026-06-27T23:11:02+00:00,-18000,802,Clouds,nubes dispersas,03d,2026-06-27T15:44:00+00:00,stations,200
2026-06-27T15:44:01+00:00,San Pablo de Borbur,San Pablo de Borbur,Boyacá,CO,5.6578,-74.0625,27.86,28.38,27.86,27.86,51,1011,1011,873,1.81,272,3.24,4,10000,,,,,2026-06-27T10:45:47+00:00,2026-06-27T23:12:38+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:44:01+00:00,stations,200
2026-06-27T15:44:01+00:00,Tunungua,Florián,Boyacá,CO,5.73,-73.933,29.2,30.05,29.2,29.2,51,1012,1012,834,1.53,238,4.69,8,10000,,,,,2026-06-27T10:45:08+00:00,2026-06-27T23:12:15+00:00,-18000,800,Clear,cielo claro,01d,2026-06-27T15:44:01+00:00,stations,200
2026-06-27T15:44:01+00:00,Almeida,Macanal,Boyacá,CO,4.9712,-73.3788,20.72,20.7,20.72,20.72,71,1018,1018,806,2.27,113,2.55,81,10000,,,,,2026-06-27T10:44:15+00:00,2026-06-27T23:08:42+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:44:01+00:00,stations,200
2026-06-27T15:44:01+00:00,Chivor,Chivor,Boyacá,CO,4.8887,-73.3695,15.13,14.55,15.13,15.13,71,1018,1018,826,2.19,111,2.13,83,10000,,,,,2026-06-27T10:44:21+00:00,2026-06-27T23:08:31+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:44:01+00:00,stations,200
2026-06-27T15:44:02+00:00,Guateque,Guateque,Boyacá,CO,5.0063,-73.4731,18.55,18.24,18.55,18.55,68,1017,1017,780,2.69,111,3.8,70,10000,,,,,2026-06-27T10:44:34+00:00,2026-06-27T23:09:08+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:44:02+00:00,stations,200
2026-06-27T15:44:02+00:00,Guayata,Guayatá,Boyacá,CO,4.9648,-73.4907,21.94,21.94,21.94,21.94,67,1017,1017,786,2.73,108,3.53,72,10000,,,,,2026-06-27T10:44:42+00:00,2026-06-27T23:09:08+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:44:02+00:00,stations,200
2026-06-27T15:44:02+00:00,La Capilla,Tenza,Boyacá,CO,5.0958,-73.4447,17.49,17.1,17.49,17.49,69,1018,1018,771,2.55,120,3.92,72,10000,,,,,2026-06-27T10:44:17+00:00,2026-06-27T23:09:11+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:44:02+00:00,stations,200
2026-06-27T15:44:02+00:00,Somondoco,Somondoco,Boyacá,CO,4.986,-73.4326,23.05,23.19,23.05,23.05,68,1018,1018,791,2.55,109,3.24,74,10000,,,,,2026-06-27T10:44:26+00:00,2026-06-27T23:08:57+00:00,-18000,803,Clouds,muy nuboso,04d,2026-06-27T15:44:02+00:00,stations,200
